active_windows,assigned_players,assignment_moves_per_player,candidates_per_player,co_location_conflict_ratio,cold_start_event_share,cold_start_events,cold_start_wait_ms,completed,completed_function_events,completed_request_events,completion_ratio,config_path,cost,cross_node_placement_ratio,data_wait_ms,execution_ms,incomplete_active_share,inner_limit_active_share,inner_rounds_per_active_window,inner_stable_active_share,latency_mean_ms,latency_p95_ms,latency_p99_ms,load,mean_assigned_node_count,mean_empirical_gap,mean_pressure,mean_price_spread,mean_queue_pressure_ratio_max,method,no_player_windows,node_cpu_utilization_mean,node_memory_utilization_mean,operational_refinement,oscillation_active_share,outer_feedback_active_share,outer_limit_active_share,outer_rounds_per_active_window,paper_welfare_per_player,placement_dispersion,qc_run_complete,qpr,queue_area_per_arrival,queue_peak,reference_below_current_active_share,run_id,schedule_wait_ms,seed,selected_starting_share,source_bank,throughput,topology,waiting_share,warm_available_share,warm_bypass_share,welfare_baseline_reward_per_player,welfare_contribution_per_player,welfare_cost_per_player,welfare_externality_per_player,welfare_quality_per_player
920,2029,,,,0.34893048128342247,522,30.446524064171122,830,1496,830,0.4382259767687434,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ61.ffdff1e6\run_config.json,0.6396679246282003,,0.3088235294117647,120.76069518716578,0.0,,,,267.3963855421687,462.0,477.0,low,,,,,,hash,,0.19141546678050736,0.5247169752037757,baseline,,,,,29.637285625952227,,True,0.004852527282061517,11.908130939809926,63,,TSCv1.E1.homogeneous.n20.low.hash.FQ61.ffdff1e6,0.5902406417112299,Q61,,G1_Q61_Q80,0.83,homogeneous,,,,31.847035144337767,0.46881646007582173,2.81034459689969,0.048759768139102766,0.1805381970769258
909,3037,,,,0.5035349567949725,1282,34.35310290652003,1292,2546,1292,0.6890666666666667,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ62.187bcbb2\run_config.json,0.36269638486690936,,0.24116260801256872,59.08248232521603,0.0,,,,157.36764705882354,506.0,923.0,low,,,,,,hash,,0.20834611698964223,0.461867013321126,baseline,,,,,35.96918765957669,,True,0.022636216315993468,12.3312,56,,TSCv1.E1.homogeneous.n20.low.hash.FQ62.187bcbb2,0.6461115475255302,Q62,,G1_Q61_Q80,1.292,homogeneous,,,,37.46581338839112,0.6032383272551297,2.2139481101767733,0.17369744749319643,0.28778179977083035
936,2162,,,,0.6379435191889935,881,34.68283852280956,601,1381,601,0.31204569055036346,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ63.f0e13a86\run_config.json,0.7710180298460898,,0.3055756698044895,113.84503982621288,0.0,,,,333.74376039933446,925.0,965.0,low,,,,,,hash,,0.15296918588219477,0.4583351818518031,baseline,,,,,29.627309955346377,,True,0.0023355909464817977,9.474039460020768,50,,TSCv1.E1.homogeneous.n20.low.hash.FQ63.f0e13a86,0.48587979724837077,Q63,,G1_Q61_Q80,0.601,homogeneous,,,,30.76401322865023,0.6490565500808854,1.8847211314835668,0.13216967485452227,0.23113117065146277
939,2833,,,,0.4892891918208374,1005,31.277507302823757,787,2054,787,0.40546110252447193,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ64.8688b880\run_config.json,0.6278270445148706,,0.4011684518013632,77.32521908471276,0.0,,,,261.2401524777637,409.0,429.0,low,,,,,,hash,,0.14270387923030675,0.4893304670110058,baseline,,,,,32.397741006702404,,True,0.004798381612422683,8.195775373518805,41,,TSCv1.E1.homogeneous.n20.low.hash.FQ64.8688b880,0.5180136319376826,Q64,,G1_Q61_Q80,0.787,homogeneous,,,,33.81988386025582,0.6995689007584295,1.9699907744684027,0.41073129523875557,0.2590099531898135
958,4777,,,,0.4399641577060932,1473,23.465651135005974,991,3348,991,0.4977398292315419,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ65.0f116f00\run_config.json,0.5715114620451248,,0.18458781362007168,93.70519713261649,0.0,,,,215.452068617558,798.0,847.0,low,,,,,,hash,,0.23033060321401502,0.5588524604972763,baseline,,,,,37.25540243543689,,True,0.008048186679164215,24.61928679055751,120,,TSCv1.E1.homogeneous.n20.low.hash.FQ65.0f116f00,0.727299880525687,Q65,,G1_Q61_Q80,0.991,homogeneous,,,,39.02109453242419,0.5190702146762405,2.336047231215225,0.2704711525849351,0.32175527209201965
909,2001,,,,0.22096486003573557,371,4.902322811197141,1159,1679,1159,0.5992761116856257,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ66.d1ead01e\run_config.json,0.5650474146792763,,0.25014889815366287,48.19535437760572,0.0,,,,76.7144089732528,355.0,814.0,low,,,,,,hash,,0.2430735348508729,0.6468907963428977,baseline,,,,,28.374591489960586,,True,0.026737549419547434,17.535677352637023,74,,TSCv1.E1.homogeneous.n20.low.hash.FQ66.d1ead01e,0.6986301369863014,Q66,,G1_Q61_Q80,1.159,homogeneous,,,,30.087772343648428,0.392199114237892,2.1829622166565454,0.07100334849351946,0.14858515126102867
930,2568,,,,0.4783151326053042,1533,25.24773790951638,1405,3205,1405,0.7379201680672269,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ67.f1b1c43a\run_config.json,0.37924604857095195,,0.34477379095163807,84.58159126365055,0.0,,,,216.77153024911033,490.0,661.0,low,,,,,,hash,,0.27932742987844456,0.5239390490893115,baseline,,,,,34.33853084201753,,True,0.017090431042685546,31.669117647058822,139,,TSCv1.E1.homogeneous.n20.low.hash.FQ67.f1b1c43a,0.568798751950078,Q67,,G1_Q61_Q80,1.405,homogeneous,,,,36.0792042748579,0.6421185297589761,2.5366304130569053,0.09568943551268626,0.24952735986293662
933,2855,,,,0.2842712842712843,394,18.118326118326117,960,1386,960,0.4933196300102775,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ68.b8603d06\run_config.json,0.5989505767822265,,0.16955266955266957,55.032467532467535,0.0,,,,82.18125,567.0,685.0,low,,,,,,hash,,0.19308090537172676,0.5685808363511549,baseline,,,,,31.804958498498813,,True,0.019503273132352165,11.51027749229188,56,,TSCv1.E1.homogeneous.n20.low.hash.FQ68.b8603d06,0.8116883116883117,Q68,,G1_Q61_Q80,0.96,homogeneous,,,,34.324680796020296,0.3550845103765693,2.8804959968593615,0.22370824488026667,0.22939724772907596
920,2225,,,,0.6790450928381963,1792,41.73702159909057,956,2639,956,0.5,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ69.ff594d13\run_config.json,0.51679833065017,,0.36415308829101933,90.07389162561576,0.0,,,,363.35460251046027,824.0,837.0,low,,,,,,hash,,0.22530255528620538,0.48680811667701607,baseline,,,,,33.30584525890565,,True,0.005091035489255044,16.053347280334727,64,,TSCv1.E1.homogeneous.n20.low.hash.FQ69.ff594d13,0.41114058355437666,Q69,,G1_Q61_Q80,0.956,homogeneous,,,,34.56502298333672,0.6640282290391205,2.001950122292122,0.19345211522297912,0.2721964464093862
930,6182,,,,0.22211155378486055,223,16.014940239043824,856,1004,856,0.4451378055122205,C:\Users\99349\Desktop\serverless_sim_game_revision\runs\tscv1_g1_formal_q61_q80_98f822c_20260903\online\homogeneous-low\canonical\TSCv1.E1.homogeneous.n20.low.hash.FQ70.5bbea342\run_config.json,0.8485724190685237,,0.04880478087649402,67.75298804780877,0.0,,,,91.6214953271028,203.0,518.0,low,,,,,,hash,,0.19806929320158423,0.7196442330447739,baseline,,,,,39.49644624095486,,True,0.011010004013614263,79.90951638065522,303,,TSCv1.E1.homogeneous.n20.low.hash.FQ70.5bbea342,0.9193227091633466,Q70,,G1_Q61_Q80,0.856,homogeneous,,,,42.370367902183716,0.4918014264169301,2.5975401439989936,1.0818317590051776,0.31364983230086835
