state_id,players,nodes,feasible_assignments,pure_nash_equilibria,optimal_welfare,worst_nash_welfare,best_nash_welfare,exact_poa,relative_welfare_gap,ready_order_welfare,ready_order_is_pure_nash,ready_order_termination,ready_order_inner_stable,ready_order_inner_limit_hit,ready_order_oscillated,ready_order_inner_rounds,ready_order_assignment_moves,reference_welfare,reference_absolute_shortfall,reference_normalized_shortfall,reference_exact_hit,reference_runtime_ns,exact_enumeration_runtime_ns,potential_strict_improvements,potential_max_identity_residual
p06-s049,6,3,729,68,98.71141485067723,98.48199886769154,98.71141485067723,1.0023295220001973,0.0023241079396210404,98.63193355667788,True,stable,True,False,False,1,0,98.68956161355462,0.021853237122613223,0.00022138510683562847,False,1711300,42716500,4374,2.9976021664879227e-15
p06-s050,6,3,729,60,106.23933741799507,105.72292632546257,106.23933741799507,1.0048845705513558,0.004860827496511068,105.87529003936764,True,stable,True,False,False,1,0,106.12074591141297,0.11859150658210638,0.001116267377642917,False,1926600,41451100,4374,3.3306690738754696e-15
p06-s051,6,3,729,6,110.7918397153488,110.48657577437532,110.63848908806041,1.0027629052564435,0.002755292643914683,110.49412039554711,True,stable,True,False,False,1,0,110.76349633577411,0.028343379574693017,0.0002558255160986049,False,2088400,41348600,4374,3.1086244689504383e-15
p06-s052,6,3,729,1,105.89662392460426,105.58932806302349,105.58932806302349,1.0029102928034295,0.0029018475773085668,105.58932806302349,True,stable,True,False,False,1,0,105.89662392460426,0.0,0.0,True,2266500,41335600,4374,2.886579864025407e-15
p06-s053,6,3,729,26,106.12284153717796,105.68497173659358,105.95774843188279,1.004143160502287,0.004126065550468525,105.68497173659361,True,stable,True,False,False,1,0,106.07992876431626,0.04291277286169759,0.00040436886385730617,False,2071800,41735800,4374,3.1086244689504383e-15
p06-s054,6,3,729,90,105.11215254479512,105.07620597964797,105.11215254479512,1.0003420999531913,0.00034198296083640274,105.09393126408357,True,stable,True,False,False,1,0,105.10614775575993,0.006004789035188196,5.712744806200372e-05,False,1746000,42989100,4374,3.3306690738754696e-15
p06-s055,6,3,729,60,108.6775891087389,108.52299031883369,108.6775891087389,1.0014245717838313,0.0014225452659841571,108.53969207119118,True,stable,True,False,False,1,0,108.6581191218213,0.019469986917599158,0.0001791536514314666,False,1900600,41235900,4374,2.9976021664879227e-15
p06-s056,6,3,729,22,94.2249447974574,93.22472496998665,94.16058185514831,1.010729126074577,0.010615233891840223,93.22472496998665,True,stable,True,False,False,1,0,94.2249447974574,0.0,0.0,True,2046000,41098200,4374,3.1086244689504383e-15
p06-s057,6,3,729,1,97.57369464689447,97.56997901012357,97.56997901012357,1.0000380817625318,3.80803123663409e-05,97.56997901012357,True,stable,True,False,False,1,0,97.57369464689447,0.0,0.0,True,1933000,40706000,4374,2.7755575615628914e-15
p06-s058,6,3,729,24,106.71508232978103,105.38665550926828,106.46324317347731,1.0126052659522524,0.012448351175024314,105.46461921404371,True,stable,True,False,False,1,0,106.71508232978103,0.0,0.0,True,2104900,41158000,4374,3.552713678800501e-15
